disease,prob
tb_tot_newrel,0.196449906982905
whs3_40,0.00919867411072594
whs3_41,0.000112550724805006
whs3_42,0.000265430991871862
whs3_43,0.00450836875995175
whs3_45,0.00791199613008781
whs3_46,0.000396921631068682
whs3_47,0.0018740308108403
whs3_48,0.743945467926293
whs3_49,1.8917231859608e-05
whs3_50,3.9286145780385e-05
whs3_51,1.61045978660931e-06
whs3_52,1.03092108875202e-05
whs3_53,0.0213104544913722
whs3_55,4.64991910218183e-06
whs3_56,0.000157099218057128
whs3_57,0.00353679651671611
whs3_62,0.0102575287378894
