Dataset,GHO,PUBLISHSTATE,YEAR,REGION,WORLDBANKINCOMEGROUP,COUNTRY,Display,Numeric,Low,High,Comments
CYCU,WHS3_41,PUBLISHED,2009,EUR,WB_LI,UZB,0,,,,
CYCU,WHS3_46,PUBLISHED,2009,WPR,WB_LI,KHM,27,,,,
CYCU,WHS3_41,PUBLISHED,2010,EUR,,TUR,0,0,,,
CYCU,WHS3_45,PUBLISHED,2011,EMR,WB_LMI,JOR,0,0,,,
CYCU,WHS3_43,PUBLISHED,2010,AFR,,DZA,0,0,,,
CYCU,WHS3_46,PUBLISHED,2009,AMR,WB_LMI,BOL,9,,,,
CYCU,WHS3_57,PUBLISHED,2011,AFR,,RWA,62.00,62,,,
CYCU,WHS3_56,PUBLISHED,2010,EMR,,IRQ,11,11,,,
CYCU,WHS3_46,PUBLISHED,2009,WPR,WB_LMI,KIR,0,,,,
CYCU,WHS3_50,PUBLISHED,2009,SEAR,WB_LMI,THA,0,,,,
CYCU,WHS3_57,PUBLISHED,2010,EUR,,LVA,0,0,,,
CYCU,WHS3_49,PUBLISHED,2012,EUR,,ESP,0.00,0,,,
CYCU,WHS3_41,PUBLISHED,2010,WPR,,WSM,0,0,,,
CYCU,WHS3_57,PUBLISHED,2009,EUR,WB_UMI,LVA,7,,,,
CYCU,WHS3_40,PUBLISHED,2011,EMR,,IRN,1187.00,1187,,,
CYCU,WHS3_57,PUBLISHED,2009,AMR,WB_HI,ATG,0,,,,
CYCU,WHS3_57,PUBLISHED,2009,AFR,WB_LI,TZA,0,,,,
CYCU,WHS3_57,PUBLISHED,2010,AMR,,MEX,0,0,,,
CYCU,WHS3_41,PUBLISHED,2011,EUR,,ARM,0.00,0,,,
CYCU,WHS3_56,PUBLISHED,2010,WPR,,SLB,0,0,,,
CYCU,WHS3_43,PUBLISHED,2011,WPR,,NRU,0.00,0,,,
CYCU,WHS3_51,PUBLISHED,2012,EUR,,TUR,0.00,0,,,
CYCU,WHS3_46,PUBLISHED,2011,EMR,,SOM,233.00,233,,,
CYCU,TB_tot_newrel,PUBLISHED,2009,AFR,WB_LMI,CMR,24662,24662,,,
CYCU,WHS3_46,PUBLISHED,2009,WPR,,TUV,0,,,,
CYCU,WHS3_49,PUBLISHED,2011,AFR,WB_UMI,NAM,0,0,,,
CYCU,WHS3_45,PUBLISHED,2011,AFR,WB_LI,ZMB,376,376,,,
CYCU,WHS3_55,PUBLISHED,2011,AMR,,PAN,0.00,0,,,
CYCU,TB_tot_newrel,PUBLISHED,2009,EUR,WB_HI,BEL,806,806,,,
CYCU,TB_tot_newrel,PUBLISHED,2010,WPR,WB_LI,LAO,3999,3999,,,
CYCU,WHS3_48,PUBLISHED,2010,AFR,,BFA,804539,,,,
CYCU,WHS3_56,PUBLISHED,2011,SEAR,,TLS,2.00,2,,,
CYCU,WHS3_43,PUBLISHED,2010,EUR,,AZE,15,15,,,
CYCU,WHS3_41,PUBLISHED,2011,EUR,,DNK,0.00,0,,,
CYCU,WHS3_57,PUBLISHED,2010,AMR,,CAN,12,12,,,
CYCU,WHS3_46,PUBLISHED,2009,AMR,WB_UMI,KNA,0,,,,
CYCU,WHS3_43,PUBLISHED,2011,SEAR,,MMR,5.00,5,,,
CYCU,WHS3_43,PUBLISHED,2009,EUR,WB_UMI,BLR,93,,,,
CYCU,WHS3_48,PUBLISHED,2009,EMR,,IRQ,0,,,,
CYCU,WHS3_50,PUBLISHED,2011,AFR,,AGO,0.00,0,,,
CYCU,WHS3_50,PUBLISHED,2010,AFR,,NAM,0,0,,,
CYCU,WHS3_62,PUBLISHED,2011,EUR,,BLR,50.00,50,,,
CYCU,WHS3_46,PUBLISHED,2009,EMR,WB_HI,OMN,2,,,,
CYCU,WHS3_50,PUBLISHED,2009,EUR,WB_HI,FRA,0,,,,
CYCU,TB_tot_newrel,PUBLISHED,2009,EMR,WB_LMI,SDN,26001,26001,,,
CYCU,TB_tot_newrel,PUBLISHED,2009,AFR,WB_LI,MDG,22758,22758,,,
CYCU,WHS3_49,PUBLISHED,2011,AMR,WB_HI,TTO,0,0,,,
CYCU,WHS3_45,PUBLISHED,2009,AFR,WB_LI,RWA,28,28,,,
CYCU,WHS3_41,PUBLISHED,2010,EUR,,CHE,0,0,,,
CYCU,WHS3_46,PUBLISHED,2010,EMR,,SDN,273,273,,,
CYCU,TB_tot_newrel,PUBLISHED,2011,WPR,WB_LI,KHM,38555,38555,,,
CYCU,WHS3_51,PUBLISHED,2012,EMR,,PAK,0.00,0,,,
CYCU,WHS3_53,PUBLISHED,2010,AMR,,SLV,369,369,,,
CYCU,WHS3_42,PUBLISHED,2010,EUR,,HRV,0,0,,,
CYCU,WHS3_48,PUBLISHED,2009,EMR,,MAR,0,,,,
CYCU,WHS3_62,PUBLISHED,2009,EUR,WB_UMI,MNE,0,,,,
CYCU,WHS3_43,PUBLISHED,2010,EMR,,KWT,41,41,,,
CYCU,WHS3_46,PUBLISHED,2010,EMR,,AFG,23,23,,,
CYCU,WHS3_62,PUBLISHED,2009,WPR,WB_LMI,VUT,0,,,,
CYCU,TB_tot_newrel,PUBLISHED,2010,AMR,WB_UMI,CHL,2376,2376,,,
CYCU,WHS3_56,PUBLISHED,2011,SEAR,,PRK,0.00,0,,,
CYCU,WHS3_46,PUBLISHED,2011,EMR,,BHR,0.00,0,,,
CYCU,WHS3_46,PUBLISHED,2011,AFR,,NER,131.00,131,,,
CYCU,WHS3_56,PUBLISHED,2011,AMR,,JAM,0.00,0,,,
CYCU,WHS3_53,PUBLISHED,2010,EUR,,UKR,951,951,,,
CYCU,WHS3_62,PUBLISHED,2009,WPR,WB_LMI,MNG,8,,,,
CYCU,WHS3_56,PUBLISHED,2009,AFR,WB_LI,SEN,16,,,,
CYCU,WHS3_55,PUBLISHED,2011,AFR,,GNQ,0.00,0,,,
CYCU,TB_tot_newrel,PUBLISHED,2011,SEAR,WB_LMI,BTN,1235,1235,,,
CYCU,WHS3_42,PUBLISHED,2009,AFR,WB_LI,ZWE,0,,,,
CYCU,WHS3_49,PUBLISHED,2012,AMR,,CUB,0.00,0,,,
CYCU,WHS3_50,PUBLISHED,2011,EMR,,KWT,0.00,0,,,
CYCU,WHS3_50,PUBLISHED,2011,AMR,,BRA,0.00,0,,,
CYCU,WHS3_41,PUBLISHED,2009,SEAR,WB_LI,NPL,277,,,,
CYCU,TB_tot_newrel,PUBLISHED,2010,AMR,WB_UMI,COL,11420,11420,,,
CYCU,WHS3_45,PUBLISHED,2010,AMR,WB_LMI,PRY,392,392,,,
CYCU,WHS3_46,PUBLISHED,2011,WPR,,TON,0.00,0,,,
CYCU,WHS3_62,PUBLISHED,2010,AFR,,AGO,1190,1190,,,
CYCU,WHS3_53,PUBLISHED,2009,WPR,WB_LMI,WSM,0,,,,
CYCU,WHS3_43,PUBLISHED,2010,AMR,,BRA,477,477,,,
CYCU,TB_tot_newrel,PUBLISHED,2010,AFR,WB_LMI,STP,121,121,,,
CYCU,WHS3_41,PUBLISHED,2010,SEAR,,LKA,0,0,,,
CYCU,WHS3_43,PUBLISHED,2009,EMR,WB_UMI,LBN,65,,,,
CYCU,WHS3_55,PUBLISHED,2009,WPR,,NIU,0,,,,
CYCU,WHS3_55,PUBLISHED,2010,AMR,,BRA,0,0,,,
CYCU,WHS3_43,PUBLISHED,2011,AMR,,BOL,0.00,0,,,
CYCU,WHS3_56,PUBLISHED,2009,WPR,WB_LMI,TON,0,,,,
CYCU,WHS3_57,PUBLISHED,2011,WPR,,NRU,0.00,0,,,
CYCU,WHS3_62,PUBLISHED,2009,AFR,WB_LI,KEN,1218,,,,
CYCU,WHS3_57,PUBLISHED,2011,AMR,,CHL,1.00,1,,,
CYCU,WHS3_49,PUBLISHED,2012,SEAR,,MDV,0.00,0,,,
CYCU,WHS3_41,PUBLISHED,2010,EUR,,ISR,0,0,,,
CYCU,WHS3_48,PUBLISHED,2011,AFR,,GMB,261967,,,,
CYCU,WHS3_41,PUBLISHED,2010,AMR,,BHS,0,0,,,
CYCU,WHS3_55,PUBLISHED,2011,AFR,,SWZ,0.00,0,,,
CYCU,WHS3_62,PUBLISHED,2009,EUR,WB_HI,ISL,0,,,,
CYCU,WHS3_53,PUBLISHED,2010,EUR,,ISR,4923,4923,,,
CYCU,WHS3_53,PUBLISHED,2011,EUR,,LTU,64.00,64,,,
CYCU,TB_tot_newrel,PUBLISHED,2010,AMR,WB_UMI,URY,699,699,,,
CYCU,WHS3_53,PUBLISHED,2009,AFR,WB_UMI,SYC,0,,,,
CYCU,WHS3_53,PUBLISHED,2011,WPR,,NZL,52.00,52,,,
CYCU,WHS3_45,PUBLISHED,2010,EUR,WB_HI,HRV,0,0,,,
CYCU,WHS3_42,PUBLISHED,2010,AFR,,NER,0,0,,,
CYCU,WHS3_48,PUBLISHED,2009,AFR,,COD,1878705,,,,
CYCU,WHS3_56,PUBLISHED,2009,EMR,WB_LMI,TUN,0,,,,
CYCU,WHS3_55,PUBLISHED,2010,EUR,,UZB,0,0,,,
CYCU,WHS3_43,PUBLISHED,2011,WPR,,KOR,97.00,97,,,
CYCU,TB_tot_newrel,PUBLISHED,2010,AFR,WB_LI,MOZ,43558,43558,,,
CYCU,WHS3_62,PUBLISHED,2009,EUR,WB_UMI,RUS,101,,,,
CYCU,WHS3_48,PUBLISHED,2010,WPR,,SLB,39704,,,,
CYCU,TB_tot_newrel,PUBLISHED,2011,WPR,WB_HI,BRN,230,230,,,
CYCU,WHS3_46,PUBLISHED,2011,WPR,,BRN,1.00,1,,,
CYCU,TB_tot_newrel,PUBLISHED,2010,AMR,WB_LMI,SLV,1700,1700,,,
CYCU,WHS3_57,PUBLISHED,2010,WPR,,FJI,0,0,,,
CYCU,WHS3_49,PUBLISHED,2012,WPR,,TON,0.00,0,,,
CYCU,WHS3_55,PUBLISHED,2010,AFR,,GIN,0,0,,,
CYCU,WHS3_49,PUBLISHED,2012,EUR,,ISL,0.00,0,,,
CYCU,WHS3_46,PUBLISHED,2009,WPR,,NRU,0,,,,
CYCU,WHS3_53,PUBLISHED,2009,AMR,WB_HI,ATG,0,,,,
CYCU,TB_tot_newrel,PUBLISHED,2011,AFR,WB_UMI,MUS,114,114,,,
CYCU,WHS3_41,PUBLISHED,2009,SEAR,WB_LI,MMR,19,,,,
CYCU,WHS3_56,PUBLISHED,2011,EMR,,OMN,0.00,0,,,
CYCU,WHS3_41,PUBLISHED,2011,WPR,,BRN,0.00,0,,,
CYCU,TB_tot_newrel,PUBLISHED,2010,WPR,,NRU,3,3,,,
CYCU,WHS3_56,PUBLISHED,2011,AFR,,GMB,2.00,2,,,
CYCU,WHS3_41,PUBLISHED,2009,AFR,WB_LI,CAF,0,,,,
CYCU,WHS3_41,PUBLISHED,2011,AFR,,DZA,1.00,1,,,
CYCU,TB_tot_newrel,PUBLISHED,2011,AMR,WB_UMI,BRA,74892,74892,,,
CYCU,WHS3_46,PUBLISHED,2010,EUR,,LUX,0,0,,,
CYCU,WHS3_56,PUBLISHED,2011,EUR,,IRL,0.00,0,,,
CYCU,WHS3_62,PUBLISHED,2011,EUR,,SVK,0.00,0,,,
CYCU,WHS3_62,PUBLISHED,2009,EMR,WB_LMI,PAK,863,,,,
CYCU,WHS3_43,PUBLISHED,2010,AMR,,GUY,0,0,,,
CYCU,WHS3_62,PUBLISHED,2009,SEAR,WB_LMI,TLS,10,,,,
CYCU,WHS3_56,PUBLISHED,2009,EUR,WB_UMI,BLR,0,,,,
CYCU,WHS3_45,PUBLISHED,2010,AFR,WB_LI,MWI,321,321,,,
CYCU,WHS3_46,PUBLISHED,2010,WPR,,VNM,196,196,,,
CYCU,WHS3_62,PUBLISHED,2010,AFR,,BDI,495,495,,,
CYCU,WHS3_41,PUBLISHED,2011,AMR,,ATG,0.00,0,,,
CYCU,WHS3_56,PUBLISHED,2010,SEAR,,IND,373,373,,,
CYCU,WHS3_46,PUBLISHED,2009,EMR,WB_LMI,IRN,8,,,,
CYCU,WHS3_45,PUBLISHED,2011,EUR,WB_HI,GBR,10,10,,,
CYCU,WHS3_43,PUBLISHED,2011,WPR,,WSM,0.00,0,,,
CYCU,WHS3_56,PUBLISHED,2010,AFR,,MLI,7,7,,,
CYCU,WHS3_41,PUBLISHED,2010,EUR,,UZB,0,0,,,
CYCU,WHS3_43,PUBLISHED,2009,EMR,WB_LI,YEM,2500,,,,
CYCU,WHS3_57,PUBLISHED,2009,SEAR,WB_LMI,MDV,0,,,,
CYCU,WHS3_57,PUBLISHED,2011,AFR,,MOZ,143.00,143,,,
CYCU,WHS3_43,PUBLISHED,2009,AFR,WB_LI,ERI,0,,,,
CYCU,WHS3_62,PUBLISHED,2011,AMR,,NIC,0.00,0,,,
CYCU,WHS3_50,PUBLISHED,2011,WPR,,SLB,0.00,0,,,
CYCU,WHS3_48,PUBLISHED,2011,AMR,,BOL,7143,,,,
CYCU,WHS3_43,PUBLISHED,2011,EMR,,SAU,13.00,13,,,
CYCU,WHS3_55,PUBLISHED,2009,EUR,WB_HI,CHE,0,,,,
CYCU,WHS3_42,PUBLISHED,2011,EMR,,KWT,0.00,0,,,
CYCU,TB_tot_newrel,PUBLISHED,2009,WPR,WB_LMI,TON,8,8,,,
CYCU,WHS3_56,PUBLISHED,2010,AFR,,NER,13,13,,,
CYCU,WHS3_57,PUBLISHED,2011,AMR,,URY,0.00,0,,,
CYCU,WHS3_42,PUBLISHED,2011,SEAR,,MMR,20.00,20,,,
CYCU,WHS3_42,PUBLISHED,2009,SEAR,WB_LI,PRK,10,,,,
CYCU,WHS3_45,PUBLISHED,2011,AMR,WB_UMI,MEX,215,215,,,
CYCU,WHS3_62,PUBLISHED,2010,AFR,,CAF,2,2,,,
CYCU,WHS3_45,PUBLISHED,2009,AFR,WB_HI,GNQ,23,23,,,
CYCU,WHS3_50,PUBLISHED,2010,AMR,,HND,0,0,,,
CYCU,WHS3_49,PUBLISHED,2012,EUR,,NLD,0.00,0,,,
CYCU,WHS3_53,PUBLISHED,2011,EUR,,MNE,57.00,57,,,
CYCU,WHS3_42,PUBLISHED,2009,AFR,WB_LI,GIN,0,,,,
CYCU,WHS3_41,PUBLISHED,2010,EUR,,DNK,0,0,,,
CYCU,TB_tot_newrel,PUBLISHED,2009,EUR,WB_HI,NLD,1111,1111,,,
CYCU,WHS3_48,PUBLISHED,2011,AFR,,UGA,231873,,,,
CYCU,WHS3_53,PUBLISHED,2009,AMR,WB_UMI,DOM,0,,,,
CYCU,WHS3_57,PUBLISHED,2011,AMR,,BRB,0.00,0,,,
CYCU,WHS3_62,PUBLISHED,2010,EUR,,SVN,2,2,,,
CYCU,WHS3_48,PUBLISHED,2011,AMR,,ARG,36,,,,
CYCU,WHS3_41,PUBLISHED,2009,AMR,WB_LMI,PRY,0,,,,
CYCU,WHS3_56,PUBLISHED,2009,EUR,WB_HI,GRC,0,,,,
CYCU,WHS3_56,PUBLISHED,2011,EMR,,YEM,38.00,38,,,
CYCU,WHS3_45,PUBLISHED,2011,WPR,WB_LI,KHM,314,314,,,
CYCU,WHS3_53,PUBLISHED,2009,EUR,WB_HI,HRV,56,,,,
CYCU,WHS3_62,PUBLISHED,2010,AFR,,GMB,2,2,,,
CYCU,WHS3_50,PUBLISHED,2011,AMR,,DOM,0.00,0,,,
CYCU,WHS3_56,PUBLISHED,2009,EUR,WB_LMI,GEO,0,,,,
CYCU,WHS3_50,PUBLISHED,2009,EUR,WB_HI,GBR,0,,,,
CYCU,WHS3_46,PUBLISHED,2010,AMR,,KNA,0,0,,,
CYCU,WHS3_56,PUBLISHED,2009,EUR,WB_HI,PRT,0,,,,
CYCU,WHS3_43,PUBLISHED,2010,WPR,,FJI,0,0,,,
CYCU,WHS3_41,PUBLISHED,2011,AFR,,ZWE,0.00,0,,,
CYCU,WHS3_56,PUBLISHED,2010,AMR,,URY,0,0,,,
CYCU,WHS3_55,PUBLISHED,2010,AFR,,MUS,0,0,,,
CYCU,WHS3_46,PUBLISHED,2009,WPR,WB_LMI,VUT,0,,,,
CYCU,WHS3_42,PUBLISHED,2011,AFR,,GNB,0.00,0,,,
CYCU,WHS3_56,PUBLISHED,2010,AMR,,DMA,0,0,,,
CYCU,WHS3_56,PUBLISHED,2011,AFR,,RWA,0.00,0,,,
CYCU,WHS3_48,PUBLISHED,2011,AFR,,TCD,181126,,,,
CYCU,WHS3_50,PUBLISHED,2010,EUR,,ISR,0,0,,,
CYCU,WHS3_49,PUBLISHED,2010,EUR,WB_UMI,RUS,14,,,,
CYCU,WHS3_43,PUBLISHED,2010,EUR,,ITA,187,187,,,
CYCU,WHS3_43,PUBLISHED,2010,EUR,,PRT,14,14,,,
CYCU,WHS3_48,PUBLISHED,2011,WPR,,MYS,4164,,,,
CYCU,WHS3_53,PUBLISHED,2009,WPR,,COK,0,,,,
CYCU,WHS3_42,PUBLISHED,2009,WPR,WB_HI,NZL,0,,,,
CYCU,WHS3_57,PUBLISHED,2009,AFR,WB_LI,NER,11,,,,
CYCU,WHS3_43,PUBLISHED,2010,WPR,,NRU,0,0,,,
CYCU,TB_tot_newrel,PUBLISHED,2009,SEAR,WB_LMI,MDV,100,100,,,
CYCU,WHS3_49,PUBLISHED,2012,WPR,,AUS,0.00,0,,,
CYCU,WHS3_41,PUBLISHED,2011,AMR,,LCA,0.00,0,,,
CYCU,WHS3_46,PUBLISHED,2011,AMR,,COL,37.00,37,,,
CYCU,WHS3_50,PUBLISHED,2009,AMR,WB_UMI,COL,5,,,,
CYCU,WHS3_57,PUBLISHED,2010,EUR,,ROU,350,350,,,
CYCU,WHS3_40,PUBLISHED,2011,AMR,,BRA,1.00,1,,,
CYCU,WHS3_46,PUBLISHED,2010,EMR,,LBN,2,2,,,
CYCU,WHS3_46,PUBLISHED,2010,EUR,,LTU,2,2,,,
CYCU,WHS3_43,PUBLISHED,2011,EUR,,ROU,86.00,86,,,
